"user","amount"
0xe86d4e36124eCc84760CDC2Eb2e0E7C9728C4FF0,0.05
0x67Eea7a2e81F7228C98Ea6ddb3BD4C4849A55554,0.206
0x010f79879241cd6cDDFFC67B809CeF8a31Cf6319,0.09
0x62955c8587e5F547BA5162BDF33279d7c095866D,0.112
0x11fE06f35F98E5099b8B9cbA62F3aBC2db4C56B3,0.092
0x144c02f5370Be541e123Fa5cF9083E30Ab7c5a04,0.058
0x4dcd2c6e0eD6450D6C07C9091Df5FaD2992538a3,0.226
0x5FDb0F8fC05b1E3565A1CB8Ec2119b7d240DF1Ad,0.996
0xC6004DCC7694cDA5bbA0e0fCEb33bAD1683Db2Ee,0.142
0xdaf57b900d6c8F9c8eeA64a210FE9736a11CA931,0.01
0x3798d60514fb30cF606BEb9aa0772ecA7Ea6CcdA,0.008
0xBbE5AB6Edee42038fe24507cBA9C918c2e39e48C,0.012
0x7ce38a8967ea362CE1f842E821670E237D429034,0.102
0xCE31871c17d1f518842450135D53F76246aE76F6,0.022
0x1a42CaCb0F5B93F2569091Fe9eeCb627Bfa34061,0.058
0x769c29dBF505EEf85fB83C416d485f09B3b19400,0.008
0x4AFC6fAFbe1cd2B4c074107b86d2FB95C4c76abF,0.008
0x23684351BD55ae5A5CffAEa12647bd5815C7Fe2f,0.012
0x5AB326a31b48faac615927dd7068B53423B32D8c,0.008
0x189b2C700bC1f901221C5faA8C57ade2082C7902,0.01
0x8263D4A5eB22E4301b5a4bB83DDCDc80B741f3E5,0.008
0xB4791Fe4F8AD6206296c4c9d3A39E795b73c3fcF,0.038
0x21002ae7e719d05e7B900014aD662cC0a3e2b830,0.01
0xE4C945D5C09cE776c031C6FB904Bcb2a55D31a82,0.024
0xDbCa3a355688Af20711783e1bBd0c720Ce37D080,0.048
0x7b989E2F025cDF1b39Ca45CA01f694caE71ffed9,0.028
0x750D429D8f379abc509528cBFF2321f905cbAFf2,0.064
0x514f3638e8540fAC020Bf52b6225c7D37e367e88,0.023
0x7b989E2F025cDF1b39Ca45CA01f694caE71ffed9,0.002
0x6FC5FF048328c04f73DD3861b666496726f0748D,0.001
0xb51667DDAffDBE32e676704A0CA280Ea19eb342B,0.002
0xBc528b5916322087739d06050B9F8178246c552C,0.003
0x21002ae7e719d05e7B900014aD662cC0a3e2b830,0.006
0x5AB326a31b48faac615927dd7068B53423B32D8c,0.004
0xdaf57b900d6c8F9c8eeA64a210FE9736a11CA931,0.014
0x36044C1A9e089255d515fC80cA87D79A9165f5D3,0.004
0x750D429D8f379abc509528cBFF2321f905cbAFf2,0.009
0x11fE06f35F98E5099b8B9cbA62F3aBC2db4C56B3,0.017
0xC6004DCC7694cDA5bbA0e0fCEb33bAD1683Db2Ee,0.006
0x144c02f5370Be541e123Fa5cF9083E30Ab7c5a04,0.003
0xB003F1e7d12b2F76cF68A4cd450Ff27A6470c34c,0.006
0x28cC2f65F596f1c08392a757B21f22d4Ec25A015,0.003
0x97a09AD75C30Cd25131E9A4b838e9fBE5233382E,0.006
0x72beC8c9eE68Bf9EEce68943e607F42e2163895C,0.009
0x8263D4A5eB22E4301b5a4bB83DDCDc80B741f3E5,0.004
0xDbCa3a355688Af20711783e1bBd0c720Ce37D080,0.01
0xE4C945D5C09cE776c031C6FB904Bcb2a55D31a82,0.01
0x1e0b625f4b2258062DF522DbB76a1Bdfb87fC1FB,0.005
0x7BCa41435b58ADf39499094F00FAfB55Bf017729,0.004
0xA9f24b771568F2Ae0b21Bd03F14725A6d1513fec,0.003
0xF2E34868CfC596c823932621366b90159Ae62585,0.001
0xB4791Fe4F8AD6206296c4c9d3A39E795b73c3fcF,0.003
0xe86d4e36124eCc84760CDC2Eb2e0E7C9728C4FF0,0.001
0x010f79879241cd6cDDFFC67B809CeF8a31Cf6319,0.016
0x4dcd2c6e0eD6450D6C07C9091Df5FaD2992538a3,0.008
0x38E7063d6E04b3bFBF9aB7d2900277686B6612D4,0.005
0x7ce38a8967ea362CE1f842E821670E237D429034,0.007
